,PROPERTY_ID,PROPERTY_TYPE,BEDROOMS,BATHROOMS,SQUARE_FOOTAGE,LOT_SIZE,TAX_2024,EVENT_DATE,EVENT_PRICE,STATE,CITY,ZIP_CODE,PROPERTY_AGE
0,"9806-Decatur-Rd,-Middle-River,-MD-21220",Single Family,4.0,2.5,1720.0,1720.0,3739.0,2022-11-28,340000.0,MD,Middle River,21220,19
1,"2002-Nutgrove-Ln,-Indian-Trail,-NC-28079",Single Family,5.0,3.0,3352.0,13504.0,2971.0,2022-05-16,575000.0,NC,Indian Trail,28079,12
2,"10321-S-Grevillea-Ave,-Inglewood,-CA-90304",Multi-Family,3.0,3.0,1784.0,6889.0,5960.0,1999-10-27,160000.0,CA,Inglewood,90304,101
3,"10-Anna-Way,-Newark,-DE-19711",Single Family,3.0,2.0,1550.0,15246.0,3739.0,2022-02-08,375000.0,DE,Newark,19711,22
4,"7-Paris-St,-Milford,-CT-06460",Single Family,2.0,1.0,1197.0,3485.0,7283.0,2021-02-24,344900.0,CT,Milford,6460,106
5,"518-Merwyn-Rd,-Narberth,-PA-19072",Single Family,3.0,2.0,2168.0,11300.0,10714.0,2015-08-28,530058.0,PA,Narberth,19072,101
6,"1343-67th-St,-Berkeley,-CA-94702",Single Family,3.0,1.0,1115.0,3450.0,18815.0,2021-09-10,1310000.0,CA,Berkeley,94702,101
7,"3070-Herb-Garden-Dr,-Frederick,-MD-21704",Single Family,3.0,3.5,2612.0,3795.0,3739.0,2021-05-27,559790.0,MD,Frederick,21704,5
8,"11550-Tara-Blvd,-Hampton,-GA-30228",Unknown,3.0,2.0,1584.0,8276.0,3739.0,2023-08-28,766000.0,GA,Hampton,30228,46
9,"1-Kensington-Hts,-Worcester,-MA-01602",Single Family,5.0,4.0,3701.0,11046.0,3739.0,1997-07-25,210500.0,MA,Worcester,1602,136
10,"1308-Alameda-Ave,-Clearwater,-FL-33759",Single Family,3.0,2.0,1974.0,13064.0,3490.0,2001-02-20,177000.0,FL,Clearwater,33759,53
11,"300-White-Ave,-New-Hyde-Park,-NY-11040",Single Family,4.0,1.0,1095.0,4200.0,3468.0,2022-02-22,720000.0,NY,New Hyde Park,11040,74
12,"169-Longwood-Ave,-Brockton,-MA-02301",Multi-Family,4.0,2.0,2050.0,4073.0,6678.0,2014-07-31,270000.0,MA,Brockton,2301,111
13,"311-Lennox-Pl,-Wilmington,-NC-28412",Single Family,4.0,2.5,2994.0,21344.0,2549.0,2022-06-28,550000.0,NC,Wilmington,28412,49
14,"8085-Stonegate-Dr,-Tinley-Park,-IL-60487",Single Family,4.0,3.0,2898.0,11326.0,3739.0,2000-12-08,236900.0,IL,Tinley Park,60487,26
15,"14292-Tungsten-Way-NW,-Anoka,-MN-55303",Single Family,2.0,1.0,978.0,10800.0,4030.0,2002-07-08,180000.0,MN,Anoka,55303,32
16,"1409-29th-Ct-NE,-Issaquah,-WA-98029",Single Family,4.0,2.5,3060.0,8179.0,12872.0,2008-06-20,819900.0,WA,Issaquah,98029,19
17,"56-River-Branch-Way,-Hoschton,-GA-30548",Single Family,3.0,2.0,1797.0,13504.0,3453.0,2024-01-17,394900.0,GA,Hoschton,30548,4
18,"3411-Mount-Vernon-St,-Philadelphia,-PA-19104",Single Family,3.0,1.0,1044.0,964.0,1051.0,2022-02-04,226390.0,PA,Philadelphia,19104,86
19,"1003-Old-Timber-Rd,-Winston-Salem,-NC-27101",Single Family,2.0,1.5,896.0,436.0,551.0,2016-05-20,1900000.0,NC,Winston Salem,27101,43
20,"847-Roselyn-Dr,-Victoria,-MN-55386",Single Family,3.0,2.0,1584.0,1307.0,3672.0,2021-05-04,342476.0,MN,Victoria,55386,46
21,"3135-Sw-116th-Ave,-Beaverton,-OR-97005",Single Family,4.0,3.0,2084.0,27007.0,6149.0,2012-06-27,305250.0,OR,Beaverton,97005,62
22,"4184-Brandon-Dr,-Delray-Beach,-FL-33445",Single Family,3.0,2.0,1992.0,10498.0,2172.0,2000-06-23,138500.0,FL,Delray Beach,33445,53
23,"11525-Metropolitan-Ave,-Apt-164,-Richmond-Hill,-NY-11418",Apartment,3.0,2.0,88272.0,28500.0,3739.0,2019-03-28,600000.0,NY,Richmond Hill,11418,101
24,"2163-Nw-157th-Ln,-Pembroke-Pines,-FL-33028",Single Family,4.0,3.0,2532.0,9913.0,7153.0,2015-12-09,410000.0,FL,Pembroke Pines,33028,27
25,"950-N-Kings-Rd,-Unit-21,-West-Hollywood,-CA-90069",Condo,0.0,1.0,456.0,120104.0,5798.0,1987-01-07,82000.0,CA,West Hollywood,90069,53
26,"5020-Chelsea-Brook-Ln,-Glen-Allen,-VA-23060",Single Family,4.0,2.0,1724.0,8501.0,3013.0,2010-06-03,211000.0,VA,Glen Allen,23060,34
27,"8086-Thunderhead-Ave,-White-City,-OR-97503",Single Family,3.0,2.0,1242.0,6534.0,2459.0,2020-07-22,249000.0,OR,White City,97503,27
28,"27-Fenton-Ave,-Binghamton,-NY-13901",Single Family,3.0,1.0,1256.0,7540.0,3739.0,2015-07-17,90426.0,NY,Binghamton,13901,73
29,"1927-White-Star-Dr,-Diamond-Bar,-CA-91765",Single Family,4.0,2.0,1554.0,7527.0,6602.0,1994-08-31,213000.0,CA,Diamond Bar,91765,50
30,"6824-Felix-St,-Mc-Lean,-VA-22101",Single Family,4.0,3.0,1330.0,10887.0,11754.0,1989-11-02,245000.0,VA,Mc Lean,22101,68
31,"950-N-Kings-Rd,-Unit-21,-West-Hollywood,-CA-90069",Condo,0.0,1.0,456.0,120104.0,5798.0,2001-01-12,100000.0,CA,West Hollywood,90069,53
32,"10740-N-153rd-East-Ave,-Owasso,-OK-74055",Single Family,3.0,2.0,1522.0,6188.0,2244.0,2021-08-03,215000.0,OK,Owasso,74055,14
33,"957-Lee-Ave,-De-Pere,-WI-54115",Single Family,3.0,2.0,1132.0,9670.0,2887.0,2017-01-27,129200.0,WI,De Pere,54115,56
34,"1034-Garfield-Ave,-Beloit,-WI-53511",Single Family,2.0,1.0,902.0,6186.0,1109.0,2024-05-21,145000.0,WI,Beloit,53511,146
35,"5843-Hamilton-Ave,-Cincinnati,-OH-45224",Unknown,3.0,2.0,1584.0,8276.0,3739.0,2024-09-06,3800000.0,OH,Cincinnati,45224,46
36,"4034-Clubhouse-Ct,-Center-Valley,-PA-18034",Single Family,3.0,2.0,2448.0,3070.0,4360.0,2017-05-31,210000.0,PA,Center Valley,18034,24
37,"222-S-Racine-Ave,-Apt-405,-Chicago,-IL-60607",Condo,2.0,3.0,2150.0,17406.0,3739.0,2013-10-16,482500.0,IL,Chicago,60607,29
38,"9972-Lorae-Way,-Elk-Grove,-CA-95624",Single Family,4.0,3.0,2361.0,6635.0,10177.0,2022-06-30,740000.0,CA,Elk Grove,95624,9
39,"4542-Pennsylvania-Ave-NE,-Roanoke,-VA-24019",Single Family,3.0,2.0,1810.0,7584.0,2726.0,2024-07-18,230000.0,VA,Roanoke,24019,53
40,"3645-Orth-St,-Bethlehem,-PA-18020",Single Family,3.0,1.5,1406.0,13199.0,4367.0,2016-04-20,219500.0,PA,Bethlehem,18020,51
41,"1114-Sw-Irving-St,-Port-Saint-Lucie,-FL-34983",Single Family,3.0,2.0,1874.0,10000.0,5334.0,2024-07-25,360000.0,FL,Port Saint Lucie,34983,36
42,"2485-Billiton-Ct,-Columbus,-OH-43220",Single Family,4.0,3.5,2990.0,23217.0,3739.0,2023-07-24,800000.0,OH,Columbus,43220,54
43,"5501-Applegate-Ln,-Louisville,-KY-40219",Single Family,3.0,1.0,1188.0,13386.0,1706.0,2019-09-04,151000.0,KY,Louisville,40219,71
44,"2919-Spencerville-Rd,-Burtonsville,-MD-20866",Single Family,3.0,1.5,1316.0,21890.0,3739.0,2022-01-12,290500.0,MD,Burtonsville,20866,67
45,"7286-Coppertip-Ave,-Las-Vegas,-NV-89179",Single Family,4.0,3.0,2226.0,3485.0,3739.0,2020-10-15,353000.0,NV,Las Vegas,89179,13
46,"819-Lake-Highland-Dr,-Orlando,-FL-32803",Single Family,3.0,1.0,978.0,6103.0,2417.0,1999-05-03,7500.0,FL,Orlando,32803,101
47,"728-N-162nd-St,-Omaha,-NE-68118",Single Family,4.0,4.0,3335.0,22692.0,12350.0,2022-02-28,660000.0,NE,Omaha,68118,33
48,"5405-S-Sellas-St,-Tampa,-FL-33611",Single Family,3.0,2.0,1316.0,7500.0,566.0,1985-04-01,47900.0,FL,Tampa,33611,54
49,"628-Reynolds-St,-Elmira,-NY-14904",Single Family,3.0,1.0,1260.0,5650.0,3739.0,2023-09-01,115000.0,NY,Elmira,14904,96
50,"4191-N-Poplar-Rd,-Lincoln,-MI-48742",Single Family,3.0,2.0,1584.0,8276.0,3739.0,2012-08-17,45000.0,MI,Lincoln,48742,46
51,"263-W-Shirley-Ave,-Edison,-NJ-08820",Single Family,3.0,2.0,1419.0,11000.0,3739.0,2002-12-10,310000.0,NJ,Edison,8820,64
52,"1253-Mcgavock-Pike,-Nashville,-TN-37216",Single Family,2.0,1.0,1517.0,25700.0,2768.0,2017-05-03,314900.0,TN,Nashville,37216,91
53,"921-Sw-Bay-State-Rd,-Port-Saint-Lucie,-FL-34953",Single Family,3.0,2.0,1611.0,10000.0,3559.0,2017-12-29,192500.0,FL,Port Saint Lucie,34953,41
54,"1008-Water-Cove-St,-Henderson,-NV-89011",Single Family,3.0,2.5,1843.0,3920.0,3739.0,2024-03-20,480000.0,NV,Henderson,89011,12
55,"2050-Finley-Rd,-Memphis,-TN-38116",Single Family,4.0,2.0,2366.0,11021.0,3739.0,2012-08-02,88500.0,TN,Memphis,38116,64
56,"115-Mohawk-St,-Port-Jervis,-NY-12771",Single Family,2.0,1.0,985.0,6000.0,3739.0,2001-08-09,38500.0,NY,Port Jervis,12771,70
57,"669-Cummins-Hwy,-Mattapan,-MA-02126",Single Family,3.0,1.5,1272.0,3967.0,3757.0,2019-03-07,370000.0,MA,Mattapan,2126,92
58,"4116-Sabre-Aly,-Blue-Ash,-OH-45242",Single Family,3.0,4.5,3772.0,6996.0,3739.0,2020-09-09,1067189.0,OH,Blue Ash,45242,6
59,"3012-Rustic-Ln,-Charlotte,-NC-28210",Single Family,4.0,2.5,3096.0,15236.0,3739.0,2005-05-27,382000.0,NC,Charlotte,28210,56
60,"23470-Fordson-Dr,-Dearborn,-MI-48124",Single Family,4.0,3.5,2000.0,4792.0,3739.0,2018-04-06,280000.0,MI,Dearborn,48124,84
61,"822-7th-St,-Marysville,-CA-95901",Multi-Family,4.0,2.0,1910.0,4108.0,2509.0,2019-09-05,200000.0,CA,Marysville,95901,106
62,"852-Blackcomb-Dr,-Cincinnati,-OH-45244",Land,3.0,2.5,1440.0,3419.0,3739.0,2022-11-28,292850.0,OH,Cincinnati,45244,4
63,"1601-Marina-Isle-Way,-Apt-402,-Jupiter,-FL-33477",Condo,2.0,2.0,1385.0,8276.0,7341.0,2009-04-15,310000.0,FL,Jupiter,33477,41
64,"1209-W-School-St,-Claremore,-OK-74017",Single Family,3.0,1.0,1144.0,8936.0,880.0,2007-06-27,75500.0,OK,Claremore,74017,60
65,"1081-River-Wind-Cir,-Vero-Beach,-FL-32967",Single Family,3.0,4.0,3119.0,10890.0,10413.0,2022-04-06,1040000.0,FL,Vero Beach,32967,10
66,"9530-Morning-Walk-Dr,-Hagerstown,-MD-21740",Single Family,4.0,2.5,3532.0,13939.0,3739.0,2023-09-27,500000.0,MD,Hagerstown,21740,21
67,"137-Van-Buren-St,-Freeport,-FL-32439",Single Family,3.0,1.0,1092.0,81893.0,3739.0,1983-06-01,35000.0,FL,Freeport,32439,63
68,"14623-Copeland-Way,-Brooksville,-FL-34604",Single Family,4.0,3.0,2409.0,21780.0,2439.0,2006-05-18,45000.0,FL,Brooksville,34604,20
69,"490-N-Allendale-Ave,-Sarasota,-FL-34237",Single Family,3.0,2.0,1118.0,7369.0,3783.0,2021-07-19,245000.0,FL,Sarasota,34237,19
